City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
514,Flagstaff,US,49.66,clear sky,35.1981,-111.6513,Drury Inn & Suites Flagstaff
519,Vila Franca Do Campo,PT,59.2,overcast clouds,37.7167,-25.4333,Pestana Bahia Praia
520,Mandali,IQ,56.48,overcast clouds,33.7499,45.5541,قرئ الشيخ سحاب الندا
521,Sanmenxia,CN,42.3,light rain,34.7747,111.1814,Pengzhou Hotel
522,Neyshabur,IR,44.76,scattered clouds,36.2133,58.7958,Amiran Hotel
523,Ylivieska,FI,28.89,light snow,64.0833,24.55,hotel Käenpesä
524,Okha,RU,26.83,light snow,53.5739,142.9478,"Gostinitsa ""Sakhalin-Sfera"""
525,Raxaul,IN,53.6,clear sky,26.9833,84.85,R S Residency
530,Stykkisholmur,IS,27.25,overcast clouds,65.0757,-22.7297,Fosshótel Stykkishólmur
533,Port Hardy,CA,45.75,broken clouds,50.6996,-127.4199,Airport Inn-Port Hardy
536,Sanctorum,MX,52.92,scattered clouds,19.1,-98.25,Marriott Puebla Hotel Meson del Angel
537,Velim,CZ,44.83,overcast clouds,50.0597,15.1071,Penzion Archery
538,Suez,EG,54.14,broken clouds,29.9737,32.5263,Green House
543,Kenai,US,30.02,overcast clouds,60.5544,-151.2583,Aspen Extended Stay Suites
544,Broome,US,35.01,overcast clouds,42.2506,-75.833,Chenango Valley State Park
545,Kuito,AO,55.47,broken clouds,-12.3833,16.9333,Herdeiros de Antunes Capusso
557,Lovozero,RU,9.79,overcast clouds,68.005,35.0117,Country house Lovozero
558,Erenhot,CN,4.1,overcast clouds,43.6475,111.9767,Erenhot Rurouni Youth Hostel
565,Baruun-Urt,MN,1.08,overcast clouds,46.6806,113.2792,Ахмадын амралт сувилал
570,Hvide Sande,DK,39.99,light snow,56.0045,8.1294,Hvide Sande Hotel
572,Sabirabad,AZ,43.57,overcast clouds,40.0095,48.4752,Mugan Park Hotel
574,Sitka,US,35.49,broken clouds,57.0531,-135.33,Westmark Sitka
575,Qaqortoq,GL,18.1,overcast clouds,60.7167,-46.0333,Siniffik Inn
578,Mehamn,NO,24.13,snow,71.0357,27.8492,Mehamn Arctic Hotel AS
581,Odweyne,SO,58.57,clear sky,9.4092,45.064,Eng Hiirey House
582,Hurghada,EG,54.82,clear sky,27.2574,33.8129,Sea Star Beau Rivage Hotel
583,Kokkola,FI,28.56,overcast clouds,63.8385,23.1307,Hotel Kokkola
584,Sidhi,IN,53.17,clear sky,24.4167,81.8833,Kamdhenu Sweets
587,Medea,DZ,41.07,clear sky,36.2642,2.7539,Hôtel M'Sallah
589,Sabzevar,IR,46.83,broken clouds,36.2126,57.6819,پزشکی قانونی سبزوار
592,Chifeng,CN,21.99,clear sky,42.2683,118.9636,Junyu Tiancheng Hotel
593,Kologriv,RU,22.77,light snow,58.8275,44.3178,Postoyalyy Dvor
594,Biograd Na Moru,HR,36.3,clear sky,43.9433,15.4519,Villa Maimare
597,Vila,PT,44.33,overcast clouds,42.0304,-8.1588,Hotel Castrum Villae by Walk Hotels
598,Khani,GE,29.77,broken clouds,41.9563,42.9566,კურორტი ზეკარი/Resort Zekari
605,Yatou,CN,44.85,clear sky,37.15,122.3833,GreenTree Hotel Rongcheng Bus Station
607,Havre-Saint-Pierre,CA,30.56,overcast clouds,50.2334,-63.5986,Auberge Niapiskau
608,Alyth,GB,32.83,clear sky,56.6221,-3.2301,Lands of Loyal Hotel
615,Hellvik,NO,34.77,light snow,59.9156,5.781,Rabben feriesenter AS
623,Damaturu,NG,59.97,clear sky,11.747,11.9608,"Hayas Guest Inn, Central Roundabout, Gujba Road"
628,Smidovich,RU,7.79,overcast clouds,48.6,133.8167,Gostinnitsa
629,Honggang,CN,12.43,light snow,46.4667,124.8667,亚布力滑雪旅游度假区
630,Havre,FR,42.57,clear sky,49.5833,0.3333,gite bois jourdain
631,Valleyview,CA,35.08,few clouds,55.0667,-117.2859,Paradise Inn & Suites
