City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Inhambane,MZ,-23.865,35.3833,82.38,69,40,9.22,scattered clouds
80,Hilo,US,19.7297,-155.09,66.11,83,0,5.75,clear sky
81,Mataura,NZ,-46.1927,168.8643,53.67,86,100,2.53,overcast clouds
82,Tonder,DK,54.9331,8.8667,39.24,73,1,7.0,clear sky
83,Labuhan,ID,-6.8844,112.2051,76.57,90,100,6.64,moderate rain
84,Dikson,RU,73.5069,80.5464,6.04,91,100,26.4,overcast clouds
85,Saint-Philippe,RE,-21.3585,55.7679,78.39,78,42,8.01,scattered clouds
86,Tiarei,PF,-17.5333,-149.3333,77.02,71,23,17.9,few clouds
87,Oranjemund,NA,-28.55,16.4333,70.03,63,15,18.77,few clouds
88,Kasongo-Lunda,CD,-6.4667,16.8167,81.97,69,40,3.18,scattered clouds
89,Bluff,NZ,-46.6,168.3333,56.52,74,53,12.03,broken clouds
90,Srandakan,ID,-7.9386,110.2506,78.28,85,100,2.73,moderate rain
91,Point Fortin,TT,10.1833,-61.6833,89.02,60,8,12.21,clear sky
92,Corinto,GR,37.9407,22.9573,59.02,69,0,1.95,clear sky
93,Yellowknife,CA,62.456,-114.3525,-22.45,87,20,2.3,few clouds
94,Iquique,CL,-20.2208,-70.1431,73.44,61,9,8.7,clear sky
95,Codrington,AU,-38.2667,141.9667,56.73,76,9,11.77,clear sky
96,Mujiayingzi,CN,42.1167,118.7833,19.13,37,92,3.83,overcast clouds
97,Palana,RU,59.1167,159.9667,-11.96,85,39,4.05,scattered clouds
98,Rawson,AR,-43.3002,-65.1023,69.87,23,0,6.33,clear sky
99,Saint George,US,37.1041,-113.5841,58.35,49,0,4.61,clear sky
100,New Norfolk,AU,-42.7826,147.0587,51.71,61,0,2.42,clear sky
101,Bredasdorp,ZA,-34.5322,20.0403,74.28,58,0,9.66,clear sky
102,Storforshei,NO,66.4043,14.5233,27.66,92,75,2.3,light snow
103,Araouane,ML,18.9048,-3.5265,78.15,11,88,15.93,overcast clouds
104,Santa Cruz Cabralia,BR,-16.2781,-39.0247,84.43,74,40,13.8,scattered clouds
105,Victoria,HK,22.2855,114.1577,67.17,86,57,1.99,broken clouds
106,Port Keats,AU,-14.25,129.55,80.96,81,6,0.11,clear sky
107,Tomatlan,MX,19.9333,-105.25,78.42,29,0,1.66,clear sky
108,George,ZA,-33.963,22.4617,71.15,73,0,8.05,clear sky
109,Westport,US,41.1415,-73.3579,53.74,66,8,1.01,clear sky
110,Sept-Iles,CA,50.2001,-66.3821,17.06,62,20,12.66,few clouds
111,Lumut,MY,4.2323,100.6298,77.02,94,40,0.0,scattered clouds
112,Cherskiy,RU,68.75,161.3,-37.79,99,50,5.28,scattered clouds
113,Butaritari,KI,3.0707,172.7902,80.64,81,71,17.11,light rain
114,San Patricio,US,28.017,-97.5169,68.09,58,0,5.79,clear sky
115,Grajau,BR,-5.8194,-46.1386,83.71,72,97,2.71,overcast clouds
116,Garissa,KE,-0.4536,39.6401,91.81,29,34,8.48,scattered clouds
117,Paita,PE,-5.0892,-81.1144,88.36,64,85,9.15,overcast clouds
118,Santarem,BR,-2.4431,-54.7083,84.33,74,40,8.05,scattered clouds
119,Souillac,MU,-20.5167,57.5167,79.18,83,40,2.3,scattered clouds
120,Contamana,PE,-7.3333,-75.0167,91.08,46,95,4.7,overcast clouds
121,Omboue,GA,-1.5746,9.2618,81.73,75,86,9.62,light rain
122,Labuan,MY,5.2767,115.2417,79.16,94,20,0.0,few clouds
123,Karratha,AU,-20.7377,116.8463,85.78,69,6,5.48,clear sky
124,Lorengau,PG,-2.0226,147.2712,79.75,82,100,5.66,overcast clouds
125,Mahebourg,MU,-20.4081,57.7,79.09,83,40,2.3,scattered clouds
126,Touros,BR,-5.1989,-35.4608,88.7,58,56,13.44,heavy intensity rain
127,Laguna,US,38.421,-121.4238,61.3,91,0,0.0,mist
128,Airai,TL,-8.9266,125.4092,60.89,94,100,1.48,light rain
129,Svetlaya,RU,46.5389,138.3297,21.29,93,100,5.37,overcast clouds
130,Nikolskoye,RU,59.7035,30.7861,30.09,84,100,10.71,overcast clouds
131,Tautira,PF,-17.7333,-149.15,77.02,70,53,16.28,broken clouds
132,Gaoual,GN,11.75,-13.2,102.56,6,10,9.26,clear sky
133,Puerto Ayora,EC,-0.7393,-90.3518,80.56,88,47,3.0,scattered clouds
134,Saint-Augustin,CA,51.226,-58.6502,33.8,92,100,14.97,overcast clouds
135,Kavaratti,IN,10.5669,72.642,80.94,73,35,7.18,scattered clouds
136,Imbituba,BR,-28.24,-48.6703,85.89,59,0,14.58,clear sky
137,Strezhevoy,RU,60.7333,77.5889,-2.22,100,17,5.26,few clouds
138,West Wendover,US,40.7391,-114.0733,42.73,48,14,6.24,few clouds
139,Hervey Bay,AU,-25.2986,152.8535,70.03,64,0,20.92,clear sky
140,Bandar,ID,2.05,99.75,73.22,98,100,2.57,overcast clouds
141,Vung Tau,VN,10.346,107.0843,79.65,79,100,21.39,overcast clouds
142,Wanning,CN,18.8003,110.3967,67.59,74,97,6.4,overcast clouds
143,Anadyr,RU,64.75,177.4833,-32.3,68,0,11.18,clear sky
144,Tiksi,RU,71.6872,128.8694,-11.78,93,96,14.12,overcast clouds
145,Carndonagh,IE,55.25,-7.2667,46.02,76,100,16.24,light rain
146,Nouadhibou,MR,20.931,-17.0347,85.98,19,89,12.66,overcast clouds
147,Mwinilunga,ZM,-11.7358,24.4293,63.16,93,100,2.39,overcast clouds
148,Katsuura,JP,35.1333,140.3,40.19,68,14,13.06,few clouds
149,Thompson,CA,55.7435,-97.8558,-29.04,62,0,5.75,clear sky
150,Hay River,CA,60.8156,-115.7999,-11.22,77,40,5.75,scattered clouds
151,Ilo,PE,-17.6394,-71.3375,74.26,64,0,13.8,clear sky
152,Inongo,CD,-1.95,18.2667,84.94,53,53,0.04,broken clouds
153,Lira,UG,2.235,32.9097,84.94,22,82,3.8,broken clouds
154,Fortuna,US,40.5982,-124.1573,49.12,76,0,10.36,clear sky
155,Bangkalan,ID,-7.0455,112.7351,76.95,93,100,4.45,moderate rain
156,Vao,NC,-22.6667,167.4833,80.55,85,100,22.46,overcast clouds
157,Trofors,NO,65.5333,13.4063,29.77,94,100,6.91,light snow
158,Eureka,US,40.8021,-124.1637,49.39,66,1,2.55,clear sky
159,Ribeira Grande,PT,38.5167,-28.7,63.0,63,40,10.36,scattered clouds
160,Arraial Do Cabo,BR,-22.9661,-42.0278,76.96,88,75,9.22,light intensity drizzle
161,Vila Franca Do Campo,PT,37.7167,-25.4333,61.21,62,100,1.43,overcast clouds
162,Iqaluit,CA,63.7506,-68.5145,-0.31,77,40,0.0,scattered clouds
163,Bezopasnoye,RU,45.6483,41.936,41.61,83,96,8.88,overcast clouds
164,Shieli,KZ,44.1667,66.75,38.37,89,100,12.55,light rain
165,Boa Vista,BR,2.8197,-60.6733,91.38,38,40,16.11,scattered clouds
166,Conakry,GN,9.538,-13.6773,90.36,62,3,11.5,haze
167,Sorochinsk,RU,52.4338,53.1583,18.52,96,88,6.64,overcast clouds
168,East London,ZA,-33.0153,27.9116,76.14,78,20,6.91,few clouds
169,Honiara,SB,-9.4333,159.95,75.92,97,100,3.38,moderate rain
170,Tombouctou,ML,20.0,-3.0,77.97,11,6,16.35,clear sky
171,Georgetown,MY,5.4112,100.3354,81.9,81,20,1.14,few clouds
172,Tasiilaq,GL,65.6145,-37.6368,19.56,60,100,4.32,overcast clouds
173,Zapolyarnyy,RU,69.4154,30.8136,16.88,95,98,26.42,light snow
174,Upernavik,GL,72.7868,-56.1549,-15.38,76,100,12.35,overcast clouds
175,Marsa Matruh,EG,31.3525,27.2453,57.49,60,62,8.34,broken clouds
176,Rokytne,UA,51.2796,27.214,35.73,86,100,4.43,overcast clouds
177,Deep River,CA,46.1001,-77.4995,32.95,86,100,11.81,light snow
178,Peniche,PT,39.3558,-9.3811,70.61,56,49,4.38,scattered clouds
179,Nome,US,64.5011,-165.4064,-5.73,54,0,0.0,clear sky
180,Fernley,US,39.608,-119.2518,47.3,53,0,2.66,clear sky
181,Ouango,CF,4.3133,22.5552,93.58,18,56,0.25,broken clouds
182,Tallahassee,US,30.4383,-84.2807,61.0,65,40,0.0,scattered clouds
183,Narsaq,GL,60.9167,-46.05,25.02,66,100,6.49,overcast clouds
184,Acarau,BR,-2.8856,-40.12,87.03,56,46,13.62,scattered clouds
185,Mount Isa,AU,-20.7333,139.5,78.57,53,100,1.14,overcast clouds
186,Whitehorse,CA,60.7161,-135.0538,21.97,86,100,13.8,light snow
187,Ternate,ID,0.8,127.4,80.19,80,100,3.6,overcast clouds
188,Castro,BR,-24.7911,-50.0119,78.12,46,0,5.21,clear sky
189,Rio Gallegos,AR,-51.6226,-69.2181,60.85,41,40,31.07,scattered clouds
190,Port Hardy,CA,50.6996,-127.4199,40.75,100,100,2.3,overcast clouds
191,Mayor Pablo Lagerenza,PY,-19.9309,-60.7718,99.54,26,3,7.4,clear sky
192,Matara,LK,5.9485,80.5353,76.35,92,100,7.25,overcast clouds
193,Lagoa,PT,39.05,-27.9833,59.13,72,41,11.83,scattered clouds
194,Pitimbu,BR,-7.4706,-34.8086,88.39,62,27,11.79,scattered clouds
195,Jiazi,CN,22.8779,116.067,60.39,88,23,11.12,few clouds
196,Faya,SA,18.3851,42.4509,59.11,74,21,8.03,few clouds
197,Rusape,ZW,-18.5278,32.1284,69.13,66,100,8.84,overcast clouds
198,Marsh Harbour,BS,26.5412,-77.0636,73.78,73,15,14.09,few clouds
199,Galveston,US,29.3669,-94.9669,66.24,74,0,6.91,clear sky
200,Bac Lieu,VN,9.285,105.7244,78.67,82,87,12.12,overcast clouds
201,Port Macquarie,AU,-31.4333,152.9167,66.16,100,75,6.91,moderate rain
202,Cuacnopalan,MX,18.8167,-97.5,56.57,42,0,6.64,clear sky
203,Cayenne,GF,4.9333,-52.3333,79.09,84,75,8.05,broken clouds
204,Askino,RU,56.0901,56.5783,18.45,97,100,4.56,overcast clouds
205,Bulalacao,PH,12.3254,121.3435,78.28,79,99,19.3,overcast clouds
206,Linxia,CN,35.6003,103.2064,24.62,96,100,5.37,snow
207,Flinders,AU,-34.5833,150.8552,70.21,85,68,8.01,light rain
208,Kiama,AU,-34.6833,150.8667,70.0,88,75,1.01,light rain
209,Sinnamary,GF,5.3833,-52.95,79.36,82,60,8.79,broken clouds
210,Kodiak,US,57.79,-152.4072,36.91,93,100,4.61,mist
211,Tarakan,ID,3.3,117.6333,80.08,77,100,4.72,overcast clouds
212,Caravelas,BR,-17.7125,-39.2481,87.3,54,10,10.18,clear sky
213,Batagay,RU,67.6333,134.6333,-30.5,98,97,2.08,overcast clouds
214,Oktyabrskiy,RU,54.4815,53.471,23.07,95,100,6.73,overcast clouds
215,Qaqortoq,GL,60.7167,-46.0333,25.3,67,100,5.91,overcast clouds
216,Alyangula,AU,-13.8483,136.4192,83.59,73,15,13.76,few clouds
217,San Andres,CO,12.5847,-81.7006,84.22,70,40,16.11,scattered clouds
218,Zverinogolovskoye,RU,54.4586,64.8542,16.47,93,100,17.13,light snow
219,Jacareacanga,BR,-6.2222,-57.7528,77.99,85,100,3.31,overcast clouds
220,Mar Del Plata,AR,-38.0023,-57.5575,62.87,69,100,17.0,overcast clouds
221,Felipe Carrillo Puerto,MX,19.5833,-88.05,78.44,70,58,5.48,broken clouds
222,Geraldton,AU,-28.7667,114.6,75.61,83,44,6.91,scattered clouds
223,Pacific Grove,US,36.6177,-121.9166,63.28,53,0,5.01,clear sky
224,Dudinka,RU,69.4058,86.1778,-7.85,85,100,17.38,overcast clouds
225,San Quintin,MX,30.4833,-115.95,66.85,31,0,1.03,clear sky
226,Vardo,NO,70.3705,31.1107,30.18,93,100,9.22,snow
227,Puerto Madero,MX,14.7208,-92.4215,84.4,65,0,5.75,clear sky
228,Krasnozerskoye,RU,53.9828,79.2374,-16.24,100,13,5.48,few clouds
229,Bandar-E Lengeh,IR,26.5579,54.8807,69.91,73,0,4.61,clear sky
230,Celestun,MX,20.8667,-90.4,75.47,66,18,9.26,few clouds
231,Ouargaye,BF,11.5033,0.0572,96.46,6,53,8.3,broken clouds
232,Chumikan,RU,54.7183,135.315,7.2,96,100,5.1,overcast clouds
233,Moanda,GA,-1.5575,13.2178,86.23,46,97,2.06,overcast clouds
234,Gondanglegi,ID,-7.7479,112.0132,73.94,97,100,4.81,overcast clouds
235,Richards Bay,ZA,-28.783,32.0377,79.9,74,1,11.34,clear sky
236,Torbay,CA,47.6666,-52.7314,43.57,76,75,23.02,broken clouds
237,Esperance,AU,-33.8667,121.9,74.88,71,94,4.09,light rain
238,Padang,ID,-0.9492,100.3543,77.36,80,100,3.67,light rain
